trial,epoch,loss,train_score,val_score,test_score,peak_mem_gb,model_type,hidden_channels,num_layers,n_params,elapsed_s
0,1,15.728172,0.045502,0.051914,0.046643,1.1756,wt-revgnn,128,28,38440,6.74
0,10,5.509951,0.296258,0.317628,0.287184,1.1756,wt-revgnn,128,28,38440,6.45
0,20,2.791008,0.442771,0.515655,0.546571,1.1756,wt-revgnn,128,28,38440,6.46
0,30,2.277335,0.488152,0.561328,0.583668,1.1756,wt-revgnn,128,28,38440,6.47
0,40,1.697266,0.5452,0.583778,0.600745,1.1756,wt-revgnn,128,28,38440,6.47
0,50,1.67861,0.528211,0.588342,0.595519,1.1756,wt-revgnn,128,28,38440,6.47
0,60,1.540178,0.57876,0.590758,0.609201,1.1756,wt-revgnn,128,28,38440,6.46
0,70,1.420931,0.588469,0.634988,0.642738,1.1756,wt-revgnn,128,28,38440,6.47
0,80,1.517523,0.604887,0.632941,0.630661,1.1756,wt-revgnn,128,28,38440,6.46
0,90,1.341827,0.632839,0.660022,0.648088,1.1756,wt-revgnn,128,28,38440,6.47
0,100,1.496113,0.60084,0.635424,0.63313,1.1756,wt-revgnn,128,28,38440,6.47
