trial,epoch,loss,train_score,val_score,test_score,peak_mem_gb,model_type,hidden_channels,num_layers,n_params,elapsed_s
0,1,3.934736,0.179325,0.077083,0.05977,1.1786,revgnn,128,7,139048,2.73
0,10,2.357196,0.374452,0.444008,0.472296,1.1786,revgnn,128,7,139048,1.73
0,20,1.652858,0.534467,0.567939,0.57982,1.1786,revgnn,128,7,139048,1.74
0,30,1.496233,0.586677,0.619182,0.63422,1.1786,revgnn,128,7,139048,1.71
0,40,1.33295,0.607493,0.639787,0.657141,1.1786,revgnn,128,7,139048,1.78
0,50,1.283501,0.597695,0.638411,0.650947,1.1786,revgnn,128,7,139048,1.72
0,60,1.241114,0.642406,0.667673,0.669115,1.1786,revgnn,128,7,139048,1.71
0,70,1.277746,0.606899,0.640122,0.650083,1.1786,revgnn,128,7,139048,1.73
0,80,1.288405,0.609109,0.620189,0.643685,1.1786,revgnn,128,7,139048,1.72
0,90,1.229375,0.604282,0.64774,0.653231,1.1786,revgnn,128,7,139048,1.78
0,100,1.150116,0.662902,0.685157,0.685698,1.1786,revgnn,128,7,139048,1.74
