trial,epoch,loss,train_score,val_score,test_score,peak_mem_gb,model_type,hidden_channels,num_layers,n_params,elapsed_s
0,1,8.662165,0.07562,0.145475,0.134477,1.1756,wt-revgnn,128,14,38440,3.53
0,10,3.239308,0.340001,0.351757,0.321688,1.1756,wt-revgnn,128,14,38440,3.27
0,20,2.342098,0.423703,0.477499,0.499084,1.1756,wt-revgnn,128,14,38440,3.28
0,30,2.00605,0.522877,0.579147,0.597288,1.1756,wt-revgnn,128,14,38440,3.3
0,40,1.698898,0.56353,0.600221,0.614551,1.1756,wt-revgnn,128,14,38440,3.3
0,50,1.49219,0.565784,0.610692,0.608892,1.1756,wt-revgnn,128,14,38440,3.3
0,60,1.524774,0.582136,0.598846,0.611279,1.1756,wt-revgnn,128,14,38440,3.3
0,70,1.349219,0.629122,0.653042,0.651462,1.1756,wt-revgnn,128,14,38440,3.3
0,80,1.29485,0.640888,0.660089,0.659404,1.1756,wt-revgnn,128,14,38440,3.31
0,90,1.293573,0.617312,0.643008,0.659219,1.1756,wt-revgnn,128,14,38440,3.3
0,100,1.318055,0.625394,0.639115,0.648026,1.1756,wt-revgnn,128,14,38440,3.34
