trial,epoch,loss,train_score,val_score,test_score,peak_mem_gb,model_type,hidden_channels,num_layers,n_params,elapsed_s
0,1,4.128613,0.076852,0.149602,0.220974,1.1805,revgnn,128,14,256424,3.53
0,10,2.506806,0.388494,0.423403,0.457359,1.1805,revgnn,128,14,256424,3.3
0,20,1.694495,0.539218,0.574113,0.601712,1.1805,revgnn,128,14,256424,3.3
0,30,1.559816,0.518699,0.502936,0.538197,1.1805,revgnn,128,14,256424,3.3
0,40,1.555999,0.557218,0.584751,0.596486,1.1805,revgnn,128,14,256424,3.29
0,50,1.371344,0.609549,0.637169,0.650248,1.1805,revgnn,128,14,256424,3.31
0,60,1.403218,0.612122,0.644082,0.651626,1.1805,revgnn,128,14,256424,3.54
0,70,1.289118,0.624427,0.660995,0.670494,1.1805,revgnn,128,14,256424,3.36
0,80,1.225482,0.636248,0.667774,0.674403,1.1805,revgnn,128,14,256424,3.36
0,90,1.38179,0.596123,0.619517,0.621134,1.1805,revgnn,128,14,256424,3.31
0,100,1.23638,0.638689,0.658277,0.645927,1.1805,revgnn,128,14,256424,3.3
