trial,epoch,loss,train_score,val_score,test_score,peak_mem_gb,model_type,hidden_channels,num_layers,n_params,elapsed_s
0,1,5.472061,0.109917,0.229773,0.215522,1.1763,wt-revgnn,128,7,38440,2.01
0,10,2.489024,0.406263,0.44082,0.448985,1.1763,wt-revgnn,128,7,38440,1.71
0,20,1.76217,0.546112,0.590792,0.613645,1.1763,wt-revgnn,128,7,38440,1.72
0,30,1.57676,0.547135,0.602638,0.618851,1.1763,wt-revgnn,128,7,38440,1.72
0,40,1.45486,0.590273,0.603946,0.613398,1.1763,wt-revgnn,128,7,38440,1.72
0,50,1.413276,0.591262,0.634686,0.647059,1.1763,wt-revgnn,128,7,38440,1.71
0,60,1.439001,0.625548,0.651364,0.659671,1.1763,wt-revgnn,128,7,38440,1.72
0,70,1.338715,0.632113,0.661666,0.665432,1.1763,wt-revgnn,128,7,38440,1.73
0,80,1.260924,0.641988,0.662539,0.654795,1.1763,wt-revgnn,128,7,38440,1.72
0,90,1.210374,0.647299,0.669855,0.672325,1.1763,wt-revgnn,128,7,38440,1.73
0,100,1.25485,0.64014,0.644988,0.637039,1.1763,wt-revgnn,128,7,38440,1.73
