trial,epoch,loss,train_score,val_score,test_score,peak_mem_gb,model_type,hidden_channels,num_layers,n_params,elapsed_s
0,1,8.385899,0.076841,0.149535,0.220768,0.7153,revgnn,64,128,559720,16.57
0,10,3.659166,0.25201,0.231115,0.283851,0.7159,revgnn,64,128,559720,16.19
0,20,2.996257,0.342794,0.359609,0.333827,0.716,revgnn,64,128,559720,16.22
0,30,2.166737,0.426309,0.491896,0.501512,0.7166,revgnn,64,128,559720,16.23
0,40,1.910784,0.500445,0.534951,0.548341,0.7166,revgnn,64,128,559720,16.23
0,50,1.761414,0.544254,0.597973,0.609304,0.7166,revgnn,64,128,559720,16.24
0,60,1.651521,0.543594,0.581731,0.573627,0.7166,revgnn,64,128,559720,16.23
0,70,1.75322,0.529794,0.514279,0.538218,0.7166,revgnn,64,128,559720,16.22
0,80,1.540647,0.604194,0.636733,0.636175,0.7166,revgnn,64,128,559720,16.26
0,90,1.476781,0.602929,0.640928,0.650413,0.7166,revgnn,64,128,559720,16.83
0,100,1.538271,0.576934,0.619316,0.638623,0.7166,revgnn,64,128,559720,16.27
